,Car Model,Year,Kilometers Driven,Fuel Type,Transmission Type,Price
0,Maruti Swift,2015,34588.0,Petrol,Manual,410499.0
1,Hyundai Grand i10,2014,43841.0,Petrol,Manual,354499.0
2,Maruti Ritz,2013,14047.0,Petrol,Manual,383999.0
3,Honda Accord,2012,50161.0,Petrol,Manual,520199.0
4,Maruti Swift,2019,15445.0,Petrol,Automatic,673399.0
5,Maruti Baleno,2016,11510.0,Petrol,Manual,506399.0
6,Volkswagen Polo,2016,62799.0,Petrol,Manual,474799.0
7,Tata TIGOR,2021,2506.0,Petrol,Manual,696999.0
8,Toyota Corolla Altis,2016,38845.0,Petrol,Manual,786899.0
9,Maruti Swift,2014,39653.0,Petrol,Manual,445799.0
10,Ford Figo Aspire,2018,17865.0,Petrol,Manual,588899.0
11,Maruti Swift,2020,7112.0,Petrol,Manual,688399.0
12,Toyota Innova,2014,93585.0,Diesel,Manual,1020699.0
13,KIA SELTOS,2019,5931.0,Petrol,Manual,1564699.0
14,Maruti Swift,2017,34691.0,Petrol,Manual,511699.0
15,Hyundai Elite i20,2016,33273.0,Petrol,Manual,523699.0
16,Maruti New Wagon-R,2019,4920.0,Petrol,Automatic,623699.0
17,Maruti Swift,2017,28030.0,Petrol,Manual,515499.0
18,Renault Kwid,2018,5927.0,Petrol,Manual,378299.0
19,Maruti Alto K10,2016,28156.0,Petrol,Manual,301499.0
20,KIA SELTOS,2019,12465.0,Petrol,Manual,1584099.0
21,Maruti Ritz,2015,25616.0,Petrol,Manual,443899.0
22,Maruti Wagon R 1.0,2014,23786.0,Petrol,Manual,336699.0
23,Volkswagen Vento,2021,8689.0,Petrol,Manual,1111999.0
24,Hyundai Verna,2015,32248.0,Petrol,Manual,630499.0
25,Maruti Baleno,2016,40385.0,Petrol,Manual,504199.0
26,Maruti New Wagon-R,2021,3201.0,Petrol,Automatic,739399.0
27,Mercedes Benz E Class,2011,77906.0,Diesel,Automatic,1064499.0
28,Toyota Corolla Altis,2016,77975.0,Petrol,Manual,765099.0
29,Honda Amaze,2017,4296.0,Petrol,Manual,581599.0
30,Maruti Alto 800,2016,23751.0,Petrol,Manual,291999.0
31,Hyundai Grand i10,2018,22796.0,Petrol,Manual,478299.0
32,Maruti Swift,2017,30435.0,Petrol,Manual,531099.0
33,Mercedes Benz C Class,2014,61553.0,Diesel,Automatic,1530099.0
34,Renault Kwid,2018,9943.0,Petrol,Manual,390399.0
35,Hyundai Grand i10,2018,16908.0,Petrol,Manual,514999.0
36,Honda CRV,2014,55135.0,Petrol,Automatic,992399.0
37,Maruti Wagon R 1.0,2017,25046.0,Petrol,Manual,407999.0
38,Hyundai i20,2013,38736.0,Petrol,Manual,404699.0
39,Hyundai Grand i10,2015,22138.0,Petrol,Manual,407099.0
40,Maruti Dzire,2018,19705.0,Petrol,Manual,586699.0
41,Maruti New Wagon-R,2020,9219.0,Petrol,Manual,652899.0
42,Maruti Swift,2019,13419.0,Petrol,Automatic,744399.0
43,Ford Figo,2012,43632.0,Diesel,Manual,284899.0
44,Datsun Redi Go,2021,294.0,Petrol,Manual,424549.0
45,Honda City,2020,14655.0,Petrol,Manual,970299.0
46,Hyundai i20,2012,68046.0,Petrol,Manual,364799.0
47,MG HECTOR,2019,3829.0,Petrol,Automatic,1636199.0
48,Maruti Wagon R 1.0,2017,11441.0,Petrol,Manual,393999.0
49,Renault Duster,2014,50930.0,Diesel,Manual,657099.0
50,Tata Harrier,2021,17445.0,Diesel,Manual,1857599.0
51,Volkswagen Vento,2017,64522.0,Diesel,Automatic,768699.0
52,Toyota URBAN CRUISER,2020,15735.0,Petrol,,1105399.0
53,Honda Jazz,2015,23598.0,Petrol,Manual,474199.0
54,Tata Tiago,2018,12199.0,Petrol,Manual,477899.0
55,Hyundai Grand i10,2014,26986.0,Petrol,Manual,409099.0
56,Renault Duster,2021,28564.0,Petrol,Manual,968199.0
57,Hyundai Grand i10,2014,26741.0,Petrol,Manual,396699.0
58,Maruti Celerio,2015,44476.0,Petrol,Manual,409999.0
59,Maruti Ciaz,2015,48119.0,Petrol,Manual,568899.0
60,Maruti Baleno,2019,21568.0,Petrol,Manual,632099.0
61,Tata Tiago,2017,91749.0,Diesel,Manual,443299.0
62,Maruti Swift,2018,12103.0,Petrol,Automatic,687699.0
63,Maruti Celerio,2018,18389.0,Petrol,Manual,462499.0
64,Honda Amaze,2017,48060.0,Petrol,Manual,554699.0
65,Maruti Celerio,2017,39776.0,Petrol,Manual,424299.0
66,Tata Tiago,2020,10015.0,Petrol,Manual,689399.0
67,Renault TRIBER,2020,17854.0,Petrol,Automatic,651099.0
68,Honda Amaze,2013,32188.0,Petrol,Manual,402399.0
69,Hyundai Elite i20,2017,21989.0,Petrol,Manual,558399.0
70,Volkswagen Vento,2015,38734.0,Petrol,Manual,587899.0
71,KIA SELTOS,2020,49354.0,Petrol,Manual,1246299.0
72,Tata Tiago,2018,9728.0,Petrol,Automatic,561299.0
73,Maruti Celerio,2016,75183.0,Petrol + CNG,Manual,480099.0
74,Hyundai i20 Active,2016,8747.0,Petrol,Manual,669099.0
75,Hyundai Grand i10,2018,8472.0,Diesel,Manual,591799.0
76,Skoda Rapid,2016,55517.0,Petrol,Manual,576799.0
77,Honda City,2014,16814.0,Petrol,Manual,537099.0
78,KIA SELTOS,2019,19897.0,Diesel,Automatic,1758999.0
79,Maruti Vitara Brezza,2019,15057.0,Diesel,Automatic,956999.0
80,Tata Harrier,2019,45659.0,Diesel,Manual,1338999.0
81,Maruti Alto 800,2015,31682.0,Petrol,Manual,297199.0
82,MG HECTOR,2019,38733.0,Diesel,Manual,1625299.0
83,Maruti Celerio,2016,26927.0,Petrol,Automatic,467299.0
84,Hyundai Grand i10,2013,34274.0,Petrol,Manual,382199.0
85,Mahindra XUV 3OO,2021,9791.0,Petrol,,1019099.0
86,Hyundai Elite i20,2016,21655.0,Petrol,Manual,530099.0
87,Tata Harrier,2019,55509.0,Diesel,Manual,1506299.0
88,Honda Jazz,2016,53951.0,Petrol,Manual,480999.0
89,Hyundai Grand i10,2017,13876.0,Petrol,Manual,439899.0
90,Tata Hexa,2018,59672.0,Diesel,Manual,1148899.0
91,Renault TRIBER,2019,16903.0,Petrol,Manual,649499.0
92,Maruti New Wagon-R,2019,9770.0,Petrol,Manual,555049.0
93,Hyundai Elite i20,2016,32817.0,Petrol,Manual,580499.0
94,Honda WR-V,2017,55632.0,Diesel,Manual,804299.0
95,Honda Jazz,2021,4668.0,Petrol,Automatic,957899.0
96,Hyundai Creta,2015,31402.0,Diesel,Manual,929299.0
97,Maruti Wagon R 1.0,2016,9604.0,Petrol,Automatic,413599.0
98,Hyundai i10,2014,47255.0,Petrol,Manual,365199.0
99,Honda Jazz,2016,34712.0,Petrol,Manual,495799.0
100,Maruti Baleno,2016,32710.0,Petrol,Manual,520899.0
101,MG HECTOR,2019,7239.0,Petrol,Automatic,1578199.0
102,Honda City,2014,76838.0,Diesel,Manual,633599.0
103,Renault Kwid,2019,6029.0,Petrol,Manual,453299.0
104,Hyundai Grand i10,2015,22945.0,Petrol,Manual,430099.0
105,Renault TRIBER,2021,4908.0,Petrol,Manual,702499.0
106,Mahindra TUV300,2017,51102.0,Diesel,Manual,833999.0
107,Renault Kwid,2019,44698.0,Petrol,Automatic,407699.0
108,Maruti New Wagon-R,2019,35467.0,Petrol,Manual,539399.0
109,Renault TRIBER,2019,7831.0,Petrol,Manual,685699.0
110,Maruti Celerio,2014,54486.0,Petrol,Automatic,368199.0
111,Hyundai Xcent,2014,62438.0,Petrol,Manual,471999.0
112,Maruti Celerio,2017,90404.0,Petrol,Automatic,440599.0
113,Maruti Celerio,2017,16596.0,Petrol,Manual,445599.0
114,Maruti Wagon R 1.0,2013,61733.0,Petrol,Manual,304365.0
115,Maruti Ciaz,2016,58088.0,Petrol,Manual,656299.0
116,Hyundai Verna,2019,43151.0,Petrol,Manual,899899.0
117,Mahindra XUV500,2019,29242.0,Diesel,Automatic,1566324.0
118,Maruti Ritz,2014,58916.0,Petrol,Manual,398599.0
119,KIA SELTOS,2019,14393.0,Petrol,Manual,1491899.0
120,Honda Amaze,2019,13972.0,Petrol,Manual,647999.0
121,Hyundai Creta,2020,25710.0,Diesel,Automatic,1653599.0
122,Maruti Wagon R 1.0,2015,38499.0,Petrol,Manual,351399.0
123,KIA SELTOS,2019,47945.0,Diesel,Automatic,1758999.0
124,Ford Ecosport,2017,32346.0,Petrol,Manual,790499.0
125,Hyundai Tucson New,2017,38786.0,Diesel,Automatic,1811499.0
126,Maruti Alto 800,2016,24821.0,Petrol,Manual,316799.0
127,Tata TIGOR,2018,20269.0,Petrol,Manual,570599.0
128,Maruti Baleno,2020,6245.0,Petrol,Manual,670299.0
129,Hyundai Xcent,2015,62208.0,Petrol,Manual,496499.0
130,Volkswagen Polo,2017,76272.0,Petrol,Automatic,724099.0
131,Maruti Celerio,2017,8497.0,Petrol,Automatic,520399.0
132,Maruti Wagon R 1.0,2012,81306.0,Petrol,Manual,300199.0
133,Toyota Corolla Altis,2016,91029.0,Petrol,Automatic,899099.0
134,Maruti Dzire,2017,5701.0,Petrol,Automatic,681499.0
135,Hyundai Elite i20,2018,29663.0,Petrol,Manual,568999.0
136,Toyota Corolla Altis,2016,60337.0,Petrol,Automatic,919199.0
137,Maruti Celerio,2018,54230.0,Petrol + CNG,Manual,504699.0
138,Honda Brio,2016,43082.0,Petrol,Automatic,537999.0
139,Hyundai Xcent,2014,68762.0,Petrol,Manual,427299.0
140,Hyundai Grand i10,2016,23749.0,Petrol,Manual,486099.0
141,Toyota Corolla Altis,2017,26564.0,Petrol,Automatic,1014699.0
142,Tata Tiago,2018,49172.0,Petrol,Automatic,532954.0
143,Hyundai Elite i20,2015,23304.0,Petrol,Manual,543699.0
144,Maruti Ciaz,2015,90963.0,Petrol,Manual,536099.0
145,Hyundai Elite i20,2019,30241.0,Petrol,Manual,695499.0
146,Hyundai Elite i20,2016,130069.0,Petrol,Manual,484099.0
147,Maruti Celerio,2019,14899.0,Petrol + CNG,Manual,531299.0
148,Toyota Corolla Altis,2014,53339.0,Petrol,Manual,700754.0
149,Skoda Rapid,2017,40835.0,Petrol,Manual,687599.0
150,Volkswagen Polo,2017,40359.0,Petrol,Automatic,702399.0
151,Maruti Celerio,2019,50699.0,Petrol + CNG,Manual,551099.0
152,Mahindra XUV500,2018,64861.0,Diesel,Automatic,1668399.0
153,Hyundai Elite i20,2017,29436.0,Petrol,Manual,574599.0
154,Hyundai Grand i10,2014,68297.0,Petrol,Manual,376199.0
155,Maruti Wagon R 1.0,2016,18681.0,Petrol,Manual,391099.0
156,Honda Jazz,2017,27296.0,Petrol,Manual,516299.0
157,Maruti Wagon R 1.0,2016,9849.0,Petrol,Automatic,430699.0
158,Hyundai Elite i20,2019,5897.0,Petrol,Manual,733699.0
159,Renault TRIBER,2019,48895.0,Petrol,Manual,622399.0
160,Hyundai NEW SANTRO,2018,43899.0,Petrol,Manual,449299.0
161,Maruti Ciaz,2015,67925.0,Petrol,Manual,529749.0
162,Maruti Ciaz,2017,32555.0,Petrol,Manual,634699.0
163,Maruti Baleno,2016,51694.0,Petrol,Manual,508699.0
164,Hyundai Grand i10,2017,24521.0,Petrol,Manual,480099.0
165,Maruti Celerio,2017,52708.0,Petrol,Manual,457599.0
166,Honda Jazz,2015,69880.0,Petrol,Automatic,563349.0
167,Maruti Baleno,2016,47428.0,Petrol,Manual,540699.0
168,Mahindra XUV500,2018,54346.0,Diesel,Automatic,1595299.0
169,Maruti Swift,2018,20677.0,Petrol,Manual,707499.0
170,Maruti Celerio,2017,28453.0,Petrol,Automatic,470999.0
171,Hyundai Elite i20,2018,91014.0,Petrol,Manual,586699.0
172,Honda CRV,2014,103415.0,Petrol,Automatic,968699.0
173,Mahindra XUV500,2019,47768.0,Diesel,Manual,1563899.0
174,Hyundai Creta,2019,18703.0,Petrol,Manual,1320599.0
175,Maruti Celerio,2016,65301.0,Petrol,Automatic,460349.0
176,Hyundai Elite i20,2016,42029.0,Petrol,Manual,530099.0
177,Maruti Celerio,2018,42273.0,Petrol,Automatic,454499.0
178,Hyundai Grand i10,2014,58361.0,Petrol,Manual,361799.0
179,Maruti Dzire,2018,30520.0,Petrol,Manual,620799.0
180,Renault Kwid,2019,2162.0,Petrol,Manual,452499.0
181,Honda City,2015,61768.0,Petrol + CNG,Manual,617299.0
182,Honda Amaze,2018,65697.0,Petrol,Manual,514799.0
183,Maruti Ciaz,2017,47899.0,Petrol,Manual,638999.0
184,Mahindra XUV 3OO,2019,39656.0,Diesel,Manual,1106399.0
185,Hyundai Grand i10,2015,35021.0,Petrol,Manual,421299.0
186,Toyota Innova,2015,129248.0,Diesel,Manual,921999.0
187,Volkswagen Ameo,2017,42620.0,Petrol,Manual,505899.0
188,Maruti Vitara Brezza,2021,34974.0,Petrol,Manual,879499.0
189,Honda Jazz,2015,80427.0,Petrol,Automatic,566799.0
190,Hyundai Grand i10,2018,34805.0,Petrol,Manual,524699.0
191,Maruti Celerio,2020,67041.0,Petrol + CNG,Manual,523899.0
192,Hyundai Creta,2016,62813.0,Petrol,Manual,911999.0
193,Datsun Redi Go,2017,17507.0,Petrol,Manual,282899.0
194,Hyundai Grand i10,2016,40712.0,Petrol,Manual,479099.0
195,Maruti Vitara Brezza,2019,27175.0,Diesel,Manual,901599.0
196,Renault Kwid,2016,16337.0,Petrol,Manual,348099.0
197,Maruti Baleno,2017,35525.0,Petrol,Manual,546099.0
198,Maruti Dzire,2017,29104.0,Petrol,Manual,629299.0
199,Maruti Celerio,2016,60982.0,Petrol,Automatic,442399.0
200,Hyundai Grand i10,2017,19472.0,Petrol,Manual,482799.0
201,Hyundai Creta,2015,63288.0,Diesel,Manual,875799.0
202,Maruti Dzire,2021,3533.0,Petrol,Automatic,832499.0
203,Hyundai Eon,2019,52871.0,Petrol,Manual,369499.0
204,Maruti Baleno,2018,16220.0,Petrol,Manual,598999.0
205,Ford Ecosport,2016,40863.0,Petrol,Manual,571899.0
206,Honda Amaze,2021,11474.0,Petrol,Automatic,896099.0
207,Maruti S PRESSO,2021,5955.0,Petrol,Manual,442599.0
208,Jeep Compass,2017,26599.0,Diesel,Manual,1306099.0
209,Maruti Baleno,2016,28621.0,Petrol,Manual,545099.0
210,Hyundai Grand i10,2015,37519.0,Petrol,Manual,421999.0
211,Hyundai Eon,2018,36060.0,Petrol,Manual,357199.0
212,Maruti Wagon R 1.0,2015,43909.0,Petrol,Manual,355799.0
213,Honda Jazz,2016,74758.0,Petrol,Manual,531999.0
214,Maruti Ciaz,2017,35711.0,Petrol,Manual,707899.0
215,Maruti Wagon R 1.0,2017,34086.0,Petrol,Automatic,404699.0
216,Maruti Baleno,2015,46999.0,Petrol,Manual,509499.0
217,Hyundai VENUE,2019,31071.0,Petrol,Automatic,1048199.0
218,Maruti Baleno,2016,55555.0,Petrol,Manual,574399.0
219,Ford Ecosport,2019,19896.0,Petrol,Manual,782099.0
220,Honda Amaze,2013,89548.0,Petrol,Manual,396799.0
221,Honda Amaze,2015,67716.0,Petrol,Manual,434999.0
222,Hyundai Creta,2018,70323.0,Diesel,Manual,914199.0
223,Maruti Dzire,2020,17110.0,Petrol,Automatic,730199.0
224,Mahindra XUV 3OO,2019,16078.0,Petrol,,1088999.0
225,Maruti Baleno,2016,5830.0,Petrol,Automatic,695099.0
226,Maruti Vitara Brezza,2021,13427.0,Petrol,Automatic,1104499.0
227,Tata Hexa,2018,55251.0,Diesel,Manual,1114899.0
228,Maruti Baleno,2016,69472.0,Petrol,Automatic,604199.0
229,Toyota Corolla Altis,2015,60106.0,Petrol,Automatic,875099.0
230,Maruti S PRESSO,2021,23604.0,Petrol + CNG,Manual,566999.0
231,Hyundai Elite i20,2017,46555.0,Petrol,Manual,554099.0
232,Maruti Baleno,2018,37222.0,Petrol,Manual,591499.0
233,Hyundai Grand i10,2014,57332.0,Petrol,Manual,388199.0
234,Ford Ecosport,2020,19170.0,Petrol,Automatic,1107899.0
235,Hyundai Elite i20,2018,42097.0,Petrol,Manual,551199.0
236,Hyundai Grand i10,2018,15091.0,Petrol,Manual,471299.0
237,Maruti Dzire,2018,19140.0,Petrol,Manual,640499.0
238,Tata Harrier,2020,13646.0,Diesel,Manual,2056199.0
239,Honda Civic,2019,13878.0,Petrol,,1589699.0
240,Hyundai New Elantra,2017,83832.0,Petrol,Automatic,1131999.0
241,Maruti Dzire,2018,71776.0,Petrol,Manual,627299.0
242,Honda City,2020,9443.0,Petrol,Automatic,1268299.0
243,Maruti Dzire,2018,53961.0,Petrol,Manual,679499.0
244,Hyundai VENUE,2019,26196.0,Petrol,Manual,884399.0
245,Hyundai Grand i10,2019,26269.0,Petrol,Manual,533999.0
246,Volkswagen Vento,2016,81656.0,Diesel,Automatic,707699.0
247,Maruti Ciaz,2015,103637.0,Diesel,Manual,584199.0
248,Toyota Etios,2018,20146.0,Petrol,Manual,586599.0
249,Hyundai NEW SANTRO,2020,13010.0,Petrol,Automatic,640099.0
250,Hyundai Verna,2018,16973.0,Petrol,Automatic,924099.0
251,Maruti Ciaz,2017,24865.0,Petrol,Manual,739799.0
252,Hyundai Grand i10,2016,25267.0,Petrol,Manual,493199.0
253,Hyundai Elite i20,2016,56717.0,Petrol,Manual,623299.0
254,Maruti Ciaz,2017,62922.0,Petrol,Manual,650799.0
255,Honda Civic,2019,10616.0,Petrol,Automatic,1762599.0
256,Honda Amaze,2014,78783.0,Petrol,Manual,399299.0
257,Hyundai Creta,2019,31760.0,Petrol,Automatic,1411099.0
258,Maruti Baleno,2019,23913.0,Petrol,Manual,649549.0
259,Jeep Compass,2017,24625.0,Diesel,Manual,1360599.0
260,Honda Amaze,2015,65032.0,Petrol,Manual,458899.0
261,Maruti Baleno,2018,42273.0,Petrol,Manual,589499.0
262,Datsun Redi Go,2018,40174.0,Petrol,Manual,317799.0
263,Honda City,2019,40802.0,Petrol,Automatic,947699.0
264,Hyundai Grand i10,2017,41192.0,Petrol,Manual,460399.0
265,Maruti Wagon R 1.0,2014,64803.0,Petrol,Manual,336399.0
266,Honda City,2015,28546.0,Petrol,Manual,719299.0
267,Maruti Dzire,2019,36466.0,Petrol,Manual,670599.0
268,Maruti Baleno,2019,31558.0,Petrol,Manual,658799.0
269,Hyundai Creta,2020,13900.0,Petrol,Manual,1425199.0
270,Skoda Rapid,2020,47165.0,Petrol,Manual,928699.0
271,Maruti Dzire,2019,28634.0,Petrol,Manual,672099.0
272,Maruti Ciaz,2016,74544.0,Diesel,Manual,700599.0
273,Hyundai Elite i20,2015,51907.0,Petrol,Manual,537799.0
274,Skoda Superb,2016,46692.0,Diesel,Automatic,1778299.0
275,Maruti S Cross,2015,67134.0,Diesel,Manual,668199.0
276,Volkswagen Vento,2017,45725.0,Petrol,Automatic,750399.0
277,Renault Kwid,2018,15246.0,Petrol,Automatic,454299.0
278,Maruti Dzire,2018,33421.0,Diesel,Manual,730599.0
279,Toyota Glanza,2019,65666.0,Petrol,Manual,716699.0
280,Hyundai i20,2014,47837.0,Petrol,Manual,468699.0
281,Volkswagen Ameo,2016,30686.0,Petrol,Manual,501799.0
282,MG HECTOR,2019,14509.0,Petrol,Automatic,1767999.0
283,MG HECTOR,2019,18718.0,Petrol,Automatic,1778499.0
284,Honda Civic,2019,30286.0,Petrol,Automatic,1553399.0
285,Hyundai Verna,2019,15956.0,Petrol,Automatic,1000699.0
286,Maruti Wagon R 1.0,2018,15461.0,Petrol,Manual,457899.0
287,Mahindra XUV 3OO,2019,96053.0,Diesel,Manual,853199.0
288,Nissan Micra Active,2013,46776.0,Petrol,Manual,286719.0
289,Honda Civic,2019,81199.0,Diesel,Manual,1470299.0
290,Honda Jazz,2017,13755.0,Petrol,Automatic,738499.0
291,Jeep Compass,2017,88775.0,Diesel,Manual,1266799.0
292,Maruti Baleno,2017,9678.0,Petrol,Manual,622299.0
293,Hyundai Grand i10,2017,20522.0,Petrol,Manual,501799.0
294,Maruti Vitara Brezza,2017,33442.0,Diesel,Manual,920999.0
295,Maruti Dzire,2017,24890.0,Petrol,Manual,616299.0
296,Ford Ecosport,2016,66637.0,Petrol,Automatic,646799.0
297,Volkswagen Ameo,2016,51561.0,Petrol,Manual,481799.0
298,Maruti Dzire,2021,2176.0,Petrol,Manual,940699.0
299,Honda City,2018,17856.0,Petrol,Automatic,991399.0
300,Hyundai Creta,2020,59605.0,Diesel,Automatic,1695499.0
301,Ford Ecosport,2018,28258.0,Diesel,Manual,757499.0
302,Hyundai Creta,2020,12471.0,Petrol,,1965499.0
303,Jeep Compass,2017,68267.0,Diesel,Manual,1253699.0
304,Honda Civic,2019,20597.0,Petrol,Automatic,1718299.0
305,Hyundai Grand i10,2016,34515.0,Petrol,Automatic,471499.0
306,Hyundai VENUE,2021,25543.0,Petrol,Manual,1006149.0
307,Hyundai i20,2013,59330.0,Petrol,Manual,419199.0
308,Renault Kwid,2017,30729.0,Petrol,Manual,381899.0
309,Hyundai Grand i10,2015,90826.0,Petrol,Manual,438999.0
310,Maruti Dzire,2018,41056.0,Petrol,Manual,639999.0
311,Hyundai GRAND I10 NIOS,2021,9968.0,Petrol + CNG,Manual,804399.0
312,Honda Jazz,2020,25159.0,Petrol,Automatic,1003799.0
313,Hyundai Verna,2017,43095.0,Petrol,Manual,683999.0
314,Maruti S PRESSO,2020,2679.0,Petrol,Manual,464299.0
315,Honda WR-V,2018,14979.0,Petrol,Manual,743299.0
316,Hyundai Grand i10,2019,44561.0,Petrol + CNG,Manual,566899.0
317,Maruti S PRESSO,2020,30120.0,Petrol + CNG,Manual,531499.0
318,Maruti Alto,2019,14581.0,Petrol,Manual,374399.0
319,Hyundai Elite i20,2019,33632.0,Petrol,Automatic,765099.0
320,Hyundai Grand i10,2016,47382.0,Petrol,Manual,446499.0
321,Tata ALTROZ,2020,20748.0,Petrol,Manual,801924.0
322,Maruti Ciaz,2017,31156.0,Petrol,Automatic,787899.0
323,Hyundai Elite i20,2019,25751.0,Petrol,Automatic,788899.0
324,Tata ALTROZ,2020,17798.0,Petrol,Manual,788699.0
325,Maruti Vitara Brezza,2020,41231.0,Petrol,Automatic,1044999.0
326,Toyota Glanza,2021,11934.0,Petrol,Manual,817599.0
327,Hyundai Verna,2018,60623.0,Petrol,Automatic,914499.0
328,Skoda Rapid,2021,3417.0,Petrol,Automatic,1339799.0
329,Hyundai i20 Active,2016,47707.0,Petrol,Manual,535199.0
330,Maruti S PRESSO,2020,37985.0,Petrol,Manual,447499.0
331,Hyundai Grand i10,2016,62046.0,Petrol,Manual,467199.0
332,Maruti Vitara Brezza,2016,66284.0,Diesel,Manual,734599.0
333,Tata Hexa,2018,86392.0,Diesel,Automatic,1111999.0
334,MG HECTOR,2019,73842.0,Diesel,Manual,1652399.0
335,Hyundai Verna,2017,53796.0,Diesel,Manual,1099499.0
336,Tata Hexa,2017,53511.0,Diesel,Automatic,1161849.0
337,Hyundai Verna,2018,23085.0,Petrol,Automatic,999099.0
338,Maruti Ciaz,2019,27983.0,Petrol,Manual,914999.0
339,Jeep Compass,2019,30874.0,Petrol,Automatic,1531999.0
340,Tata NEXON,2019,36229.0,Diesel,Automatic,1129499.0
341,Maruti Wagon R 1.0,2017,43554.0,Petrol + CNG,Manual,449999.0
342,MG HECTOR,2019,33745.0,Petrol,Automatic,1638699.0
343,Maruti IGNIS,2020,20942.0,Petrol,Manual,618399.0
344,Maruti Dzire,2018,15343.0,Petrol,Manual,704199.0
345,Maruti S PRESSO,2020,16642.0,Petrol + CNG,Manual,505899.0
346,Maruti Baleno,2019,33967.0,Petrol,Manual,648799.0
347,MG HECTOR,2019,50821.0,Petrol,Automatic,1651099.0
348,Hyundai Verna,2019,25263.0,Petrol,Automatic,1029799.0
349,Maruti S Cross,2018,47501.0,Diesel,Manual,864199.0
350,Maruti Baleno,2018,23970.0,Petrol,Manual,664599.0
351,Hyundai Grand i10,2017,96694.0,Petrol,Manual,463599.0
352,Hyundai Creta,2018,66209.0,Diesel,Automatic,1225499.0
353,Maruti Alto K10,2018,12870.0,Petrol,Manual,390199.0
354,Skoda Superb,2016,50296.0,Petrol,Automatic,1366199.0
355,Maruti Alto,2021,9711.0,Petrol,Manual,420599.0
356,MG HECTOR,2019,42023.0,Diesel,Manual,1507899.0
357,Honda Jazz,2020,12260.0,Petrol,Automatic,1025599.0
358,Hyundai Creta,2017,74784.0,Petrol,Automatic,1014299.0
359,Hyundai VENUE,2021,3398.0,Petrol,Automatic,1271999.0
360,Maruti IGNIS,2021,1512.0,Petrol,Automatic,781299.0
361,Maruti Alto K10,2019,11466.0,Petrol,Automatic,509199.0
362,Maruti Dzire,2020,7295.0,Petrol,Automatic,952299.0
363,Skoda Rapid,2021,4315.0,Petrol,Automatic,1153799.0
364,Hyundai VENUE,2021,2869.0,Petrol,Automatic,1280299.0
365,MG HECTOR,2020,39644.0,Petrol,Automatic,1713299.0
366,Skoda Rapid,2021,7323.0,Petrol,Automatic,1337699.0
367,Maruti Vitara Brezza,2019,74108.0,Diesel,Manual,932199.0
368,Jeep Compass,2017,29217.0,Diesel,Manual,1215899.0
369,Maruti Wagon R 1.0,2019,15026.0,Petrol + CNG,Manual,510899.0
370,Ford Ecosport,2017,34717.0,Petrol,Automatic,688099.0
371,Toyota Etios,2017,73896.0,Petrol,Manual,532899.0
372,Honda City,2017,33580.0,Petrol,Automatic,924099.0
373,Hyundai Creta,2018,34004.0,Petrol,Automatic,1183399.0
374,Tata ALTROZ,2020,16680.0,Petrol,Manual,730699.0
375,Honda WR-V,2017,15767.0,Petrol,Manual,722999.0
376,Maruti Wagon R 1.0,2019,57846.0,Petrol + CNG,Manual,488599.0
377,Maruti Wagon R 1.0,2017,36224.0,Petrol,Manual,452999.0
378,Hyundai Creta,2017,86892.0,Diesel,Automatic,1201499.0
379,Honda City,2018,33636.0,Petrol,Automatic,1051799.0
380,Honda City,2017,36320.0,Petrol,Manual,864399.0
381,Jeep Compass,2018,36590.0,Petrol,Automatic,1524299.0
382,Hyundai VENUE,2019,73563.0,Diesel,Manual,865399.0
383,Honda City,2017,69549.0,Petrol,Automatic,839099.0
384,Maruti S PRESSO,2021,700.0,Petrol,Manual,478199.0
385,Maruti S PRESSO,2020,8479.0,Petrol,Automatic,518199.0
386,Maruti Baleno,2018,44260.0,Petrol,Manual,632199.0
387,Honda WR-V,2017,46374.0,Petrol,Manual,711299.0
388,Tata Hexa,2018,90156.0,Diesel,Manual,1062799.0
389,Maruti S PRESSO,2020,8378.0,Petrol,Automatic,520999.0
390,Maruti Dzire,2018,52745.0,Diesel,Manual,799799.0
391,Jeep Compass,2017,78452.0,Diesel,Manual,1340749.0
392,Honda Amaze,2018,67116.0,Petrol,Automatic,730999.0
393,Maruti Wagon R 1.0,2017,10728.0,Petrol + CNG,Manual,496899.0
394,Nissan Terrano,2016,134145.0,Diesel,Manual,579299.0
395,Tata Hexa,2019,52103.0,Diesel,Manual,1366799.0
396,Honda City,2017,17933.0,Petrol,Automatic,875199.0
397,Hyundai VENUE,2020,10048.0,Petrol,Automatic,1231099.0
398,Hyundai VENUE,2021,5065.0,Petrol,Automatic,1297599.0
399,Maruti S PRESSO,2020,5749.0,Petrol,Automatic,471299.0
400,MG HECTOR,2020,58207.0,Petrol,Automatic,1654999.0
401,Ford Figo Aspire,2018,48553.0,Diesel,Manual,545999.0
402,Maruti IGNIS,2021,3432.0,Petrol,Automatic,865399.0
403,Hyundai Creta,2015,110748.0,Diesel,Manual,803699.0
404,Maruti Wagon R 1.0,2017,47758.0,Petrol + CNG,Manual,478399.0
405,Ford Ecosport,2017,53165.0,Petrol,Automatic,724099.0
406,Maruti IGNIS,2017,9228.0,Petrol,Automatic,561299.0
407,Maruti Wagon R 1.0,2014,63921.0,Petrol,Manual,374999.0
