,Car Model,Year,Kilometers Driven,Fuel Type,Transmission Type,Price
2101,Maruti Swift,2017,81832.0,Petrol,Manual,556699.0
2102,Maruti Eeco,2019,33657.0,Petrol,Manual,464899.0
2103,Maruti Dzire,2017,41322.0,Petrol,Manual,646699.0
2104,Hyundai i10,2016,59279.0,Petrol,Manual,400899.0
2105,Hyundai Grand i10,2018,29949.0,Petrol,Manual,527099.0
2106,Hyundai Elite i20,2017,36344.0,Petrol,Manual,605999.0
2107,Maruti IGNIS,2020,20759.0,Petrol,Manual,545899.0
2108,Hyundai Elite i20,2019,23577.0,Petrol,Manual,718599.0
2109,Maruti Eeco,2019,7502.0,Petrol,Manual,455099.0
2110,Maruti Eeco,2018,12584.0,Petrol,Manual,438399.0
2111,Hyundai Verna,2019,25943.0,Petrol,Automatic,1093599.0
2112,Honda City,2019,16665.0,Petrol,Manual,1075899.0
2113,Maruti Eeco,2019,22051.0,Petrol,Manual,434099.0
2114,Maruti Eeco,2019,10759.0,Petrol,Manual,453199.0
2115,Hyundai Elite i20,2019,22309.0,Petrol,Manual,751799.0
2116,Hyundai Grand i10,2014,93281.0,Petrol,Manual,351299.0
2117,Hyundai Elite i20,2015,79309.0,Petrol,Manual,529599.0
2118,Honda City,2020,20426.0,Petrol,Automatic,1261699.0
2119,Maruti Wagon R 1.0,2016,46917.0,Petrol,Manual,402899.0
2120,Maruti Wagon R 1.0,2017,19854.0,Petrol,Automatic,447599.0
2121,Hyundai Elite i20,2016,85474.0,Diesel,Manual,618999.0
2122,Honda Jazz,2019,40676.0,Petrol,Manual,652399.0
2123,Renault Kwid,2016,85298.0,Petrol,Manual,334599.0
2124,Maruti Eeco,2020,7744.0,Petrol,Manual,490799.0
2125,Maruti S PRESSO,2020,3941.0,Petrol,Manual,465299.0
2126,Honda Jazz,2019,22824.0,Petrol,Manual,753799.0
2127,Hyundai Grand i10,2019,28638.0,Petrol,Manual,587399.0
2128,Maruti IGNIS,2019,17477.0,Petrol,Manual,550699.0
2129,Maruti Eeco,2019,25584.0,Petrol,Manual,444299.0
2130,Maruti Celerio,2016,74173.0,Petrol,Automatic,461599.0
2131,Maruti Celerio,2017,56170.0,Petrol,Automatic,456099.0
2132,Maruti Celerio,2017,76671.0,Petrol,Manual,445999.0
2133,Honda City,2019,62495.0,Diesel,Manual,1176649.0
2134,Maruti Dzire,2017,51896.0,Petrol,Manual,642249.0
2135,Maruti Eeco,2018,12637.0,Petrol,Manual,461349.0
2136,Maruti Eeco,2019,28705.0,Petrol,Manual,493899.0
2137,Nissan Micra,2015,60897.0,Petrol,Automatic,425799.0
2138,Maruti Vitara Brezza,2019,69653.0,Diesel,Automatic,947499.0
2139,Skoda Rapid,2018,46277.0,Petrol,Manual,853899.0
2140,Hyundai Elite i20,2016,87378.0,Diesel,Manual,607199.0
2141,Hyundai NEW SANTRO,2019,35338.0,Petrol,Manual,501799.0
2142,Renault Kwid,2017,39961.0,Petrol,Automatic,426799.0
2143,Renault TRIBER,2019,29952.0,Petrol,Manual,569399.0
2144,Hyundai Elite i20,2016,28749.0,Petrol,Manual,673599.0
2145,Hyundai Creta,2018,41167.0,Diesel,Manual,1206699.0
2146,Maruti Wagon R 1.0,2017,72966.0,Petrol,Manual,404299.0
2147,Maruti Celerio,2016,71760.0,Petrol,Automatic,455399.0
2148,Honda Brio,2017,29373.0,Petrol,Manual,478599.0
2149,Maruti Eeco,2018,11696.0,Petrol,Manual,462299.0
2150,Hyundai Grand i10,2016,60526.0,Petrol,Manual,458099.0
2151,Maruti Wagon R 1.0,2014,54691.0,Petrol,Manual,331799.0
2152,Tata Tiago,2018,44296.0,Petrol,Manual,496299.0
2153,Maruti Alto 800,2017,54027.0,Petrol,Manual,294499.0
2154,Maruti Alto K10,2016,15832.0,Petrol,Manual,359199.0
2155,Maruti Eeco,2019,38512.0,Petrol,Manual,469999.0
2156,Hyundai Elite i20,2015,59112.0,Petrol,Manual,506199.0
2157,Honda Jazz,2017,72342.0,Petrol,Manual,556199.0
2158,Hyundai Grand i10,2018,37919.0,Petrol,Manual,562899.0
2159,Renault Kwid,2018,31842.0,Petrol,Automatic,469099.0
2160,Maruti S Cross,2016,82465.0,Diesel,Manual,660299.0
2161,Maruti Alto K10,2017,8950.0,Petrol,Automatic,429499.0
2162,Maruti Wagon R 1.0,2017,30704.0,Petrol,Manual,421399.0
2163,Hyundai Elite i20,2014,91028.0,Diesel,Manual,529299.0
2164,Tata ALTROZ,2020,22362.0,Petrol,Manual,719199.0
2165,Maruti Celerio,2018,46207.0,Petrol,Automatic,479999.0
2166,Maruti Eeco,2019,32482.0,Petrol,Manual,451099.0
2167,Maruti Baleno,2020,17019.0,Petrol,Manual,712999.0
2168,Maruti XL6,2020,41704.0,Petrol,Manual,1082499.0
2169,Maruti Wagon R 1.0,2016,79654.0,Petrol,Manual,386399.0
2170,Renault Kwid,2021,19907.0,Petrol,Automatic,500199.0
2171,Maruti Eeco,2019,32318.0,Petrol,Manual,430999.0
2172,Hyundai Elite i20,2016,46046.0,Petrol,Manual,656799.0
2173,Honda Amaze,2018,27634.0,Petrol,Manual,573099.0
2174,Volkswagen Ameo,2019,37479.0,Petrol,Manual,565899.0
2175,Hyundai NEW SANTRO,2018,17627.0,Petrol,Manual,517199.0
2176,Maruti Ciaz,2017,80654.0,Petrol,Automatic,818299.0
2177,Maruti Baleno,2021,19138.0,Petrol,Manual,775649.0
2178,Hyundai Eon,2016,54546.0,Petrol,Manual,332099.0
2179,Renault Kwid,2017,65532.0,Petrol,Automatic,395099.0
2180,Maruti Baleno,2020,14401.0,Petrol,Manual,805599.0
2181,Hyundai GRAND I10 NIOS,2020,11997.0,Petrol,Manual,824299.0
2182,Maruti Alto 800,2018,72439.0,Petrol,Manual,314999.0
2183,Maruti Eeco,2019,22811.0,Petrol,Manual,440099.0
2184,Hyundai NEW SANTRO,2020,8364.0,Petrol,Manual,565099.0
2185,Honda Civic,2019,23675.0,Petrol,Automatic,1442699.0
2186,Maruti Eeco,2019,25968.0,Petrol,Manual,470699.0
2187,Maruti IGNIS,2018,12567.0,Petrol,Manual,507799.0
2188,Renault Kwid,2019,62727.0,Petrol,Manual,402599.0
2189,Hyundai Eon,2017,31563.0,Petrol,Manual,337099.0
2190,Tata ALTROZ,2022,22988.0,Petrol,Manual,753999.0
2191,Maruti Eeco,2018,43617.0,Petrol,Manual,437999.0
2192,Hyundai Eon,2018,14525.0,Petrol,Manual,367499.0
2193,Hyundai Verna,2018,77776.0,Petrol,Manual,939699.0
2194,Maruti Wagon R 1.0,2017,15291.0,Petrol,Manual,449099.0
2195,Hyundai Grand i10,2017,96752.0,Petrol,Manual,456299.0
2196,Maruti Ciaz,2017,74594.0,Diesel,Manual,746099.0
2197,Maruti Eeco,2019,46868.0,Petrol,Manual,474099.0
2198,Hyundai VENUE,2019,24847.0,Petrol,Manual,1079299.0
2199,Hyundai NEW SANTRO,2019,17540.0,Petrol,Automatic,567599.0
2200,Hyundai GRAND I10 NIOS,2021,23870.0,Petrol,Manual,688299.0
2201,Honda BR-V,2017,93401.0,Petrol,Automatic,789299.0
2202,Maruti Celerio X,2019,50408.0,Petrol,Manual,526999.0
2203,Mahindra TUV300,2016,109044.0,Diesel,Manual,639399.0
2204,Maruti Celerio X,2019,36535.0,Petrol,Automatic,550299.0
2205,Honda City,2020,9513.0,Petrol,Manual,1255599.0
2206,Maruti Wagon R 1.0,2017,13423.0,Petrol,Manual,450099.0
2207,Ford Ecosport,2017,90141.0,Diesel,Manual,678499.0
2208,Hyundai i10,2015,76304.0,Petrol,Manual,370299.0
2209,Hyundai Elite i20,2018,81979.0,Diesel,Manual,689299.0
2210,Toyota YARIS,2018,50585.0,Petrol,Manual,846999.0
2211,Hyundai Grand i10,2018,49852.0,Petrol,Manual,528599.0
2212,Maruti Wagon R 1.0,2018,7392.0,Petrol,Manual,504699.0
2213,Volkswagen Vento,2018,57301.0,Petrol,Automatic,965499.0
2214,Maruti Alto,2021,8395.0,Petrol,Manual,428799.0
2215,Hyundai Grand i10,2014,65387.0,Petrol,Manual,429699.0
2216,Jeep Compass,2018,36694.0,Petrol,Automatic,1446099.0
2217,Hyundai Elite i20,2016,102004.0,Diesel,Manual,575599.0
2218,Tata Tiago,2018,51793.0,Petrol,Manual,524699.0
2219,Renault Kwid,2016,34669.0,Petrol,Manual,377299.0
2220,MG HECTOR,2021,24983.0,Petrol,Automatic,1769999.0
2221,Maruti Alto 800,2015,70599.0,Petrol,Manual,284399.0
2222,Hyundai Grand i10,2017,78074.0,Petrol,Automatic,518799.0
2223,Maruti Baleno,2017,37826.0,Petrol,Manual,656799.0
2224,Hyundai Grand i10,2016,69652.0,Petrol,Manual,481299.0
2225,Honda City,2017,37077.0,Petrol,Manual,855099.0
2226,Hyundai Grand i10,2020,17454.0,Petrol,Manual,592799.0
2227,Honda Jazz,2017,54273.0,Petrol,Manual,591199.0
2228,Maruti Alto 800,2017,12819.0,Petrol,Manual,340024.0
2229,Maruti Alto 800,2016,40467.0,Petrol,Manual,296099.0
2230,Maruti Wagon R 1.0,2016,31937.0,Petrol,Manual,428099.0
2231,Ford Figo Aspire,2019,23389.0,Petrol,Manual,710599.0
2232,Hyundai Grand i10,2017,69151.0,Petrol,Manual,481499.0
2233,Maruti Wagon R 1.0,2018,73886.0,Petrol,Manual,394599.0
2234,Hyundai Eon,2017,44912.0,Petrol,Manual,355499.0
2235,Hyundai Elite i20,2018,61265.0,Diesel,Manual,767699.0
2236,Hyundai Grand i10,2017,55360.0,Diesel,Manual,503699.0
2237,Maruti Eeco,2018,49889.0,Petrol,Manual,437699.0
2238,Hyundai Grand i10,2015,62335.0,Petrol,Manual,424599.0
2239,Tata Tiago,2018,48036.0,Petrol,Manual,544099.0
2240,Toyota YARIS,2018,19673.0,Petrol,Manual,865099.0
2241,Honda Amaze,2019,52782.0,Petrol,Automatic,632899.0
2242,Hyundai Grand i10,2016,73423.0,Petrol,Automatic,548299.0
2243,Maruti Wagon R 1.0,2013,40283.0,Petrol,Manual,365699.0
2244,Maruti Eeco,2019,40755.0,Petrol,Manual,406599.0
2245,Hyundai Elite i20,2016,77647.0,Petrol,Manual,612399.0
2246,Hyundai Grand i10,2016,54035.0,Petrol,Manual,477249.0
2247,Jeep Compass,2018,47927.0,Petrol,Automatic,1490799.0
2248,Volkswagen Ameo,2017,70908.0,Petrol,Manual,569899.0
2249,Maruti IGNIS,2018,63511.0,Petrol,Manual,496699.0
2250,Nissan Micra,2017,30947.0,Petrol,Automatic,520949.0
2251,Maruti Eeco,2017,68195.0,Petrol,Manual,388499.0
2252,Maruti Wagon R 1.0,2017,81939.0,Petrol,Manual,412299.0
2253,Hyundai Elite i20,2016,91502.0,Petrol,Manual,522899.0
2254,Hyundai i20 Active,2015,60293.0,Petrol,Manual,522099.0
2255,Maruti Alto 800,2016,53249.0,Petrol,Manual,307699.0
2256,Hyundai VENUE,2019,64656.0,Petrol,Manual,933099.0
2257,Honda Jazz,2021,33188.0,Petrol,Manual,940499.0
2258,Hyundai GRAND I10 NIOS,2019,28844.0,Petrol,Manual,676699.0
2259,Maruti Wagon R 1.0,2018,22253.0,Petrol,Manual,473699.0
2260,Maruti Wagon R 1.0,2017,48407.0,Petrol,Automatic,467199.0
2261,Hyundai Grand i10,2016,56375.0,Petrol,Manual,457449.0
2262,Hyundai Grand i10,2019,20305.0,Petrol,Manual,573499.0
2263,Hyundai Grand i10,2018,22307.0,Petrol,Manual,525499.0
2264,Hyundai NEW SANTRO,2018,35647.0,Petrol,Automatic,518399.0
2265,Maruti Wagon R 1.0,2014,52673.0,Petrol,Manual,384799.0
